commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public String getJobId() {     return jobId. }
false;public;0;3;;public long getModelBytes() {     return modelBytes. }
false;public;0;3;;public long getTotalByFieldCount() {     return totalByFieldCount. }
false;public;0;3;;public long getTotalPartitionFieldCount() {     return totalPartitionFieldCount. }
false;public;0;3;;public long getTotalOverFieldCount() {     return totalOverFieldCount. }
false;public;0;3;;public long getBucketAllocationFailuresCount() {     return bucketAllocationFailuresCount. }
false;public;0;3;;public MemoryStatus getMemoryStatus() {     return memoryStatus. }
true;public;0;3;/**  * The timestamp of the last processed record when this instance was created.  * @return The record time  */ ;/**  * The timestamp of the last processed record when this instance was created.  * @return The record time  */ public Date getTimestamp() {     return timestamp. }
true;public;0;3;/**  * The wall clock time at the point when this instance was created.  * @return The wall clock time  */ ;/**  * The wall clock time at the point when this instance was created.  * @return The wall clock time  */ public Date getLogTime() {     return logTime. }
false;public;0;6;;@Override public int hashCode() {     // this.id excluded here as it is generated by the datastore     return Objects.hash(jobId, modelBytes, totalByFieldCount, totalOverFieldCount, totalPartitionFieldCount, this.bucketAllocationFailuresCount, memoryStatus, timestamp, logTime). }
true;public;1;19;/**  * Compare all the fields.  */ ;/**  * Compare all the fields.  */ @Override public boolean equals(Object other) {     if (this == other) {         return true.     }     if (other instanceof ModelSizeStats == false) {         return false.     }     ModelSizeStats that = (ModelSizeStats) other.     return this.modelBytes == that.modelBytes && this.totalByFieldCount == that.totalByFieldCount && this.totalOverFieldCount == that.totalOverFieldCount && this.totalPartitionFieldCount == that.totalPartitionFieldCount && this.bucketAllocationFailuresCount == that.bucketAllocationFailuresCount && Objects.equals(this.memoryStatus, that.memoryStatus) && Objects.equals(this.timestamp, that.timestamp) && Objects.equals(this.logTime, that.logTime) && Objects.equals(this.jobId, that.jobId). }
false;public;1;4;;public Builder setModelBytes(long modelBytes) {     this.modelBytes = modelBytes.     return this. }
false;public;1;4;;public Builder setTotalByFieldCount(long totalByFieldCount) {     this.totalByFieldCount = totalByFieldCount.     return this. }
false;public;1;4;;public Builder setTotalPartitionFieldCount(long totalPartitionFieldCount) {     this.totalPartitionFieldCount = totalPartitionFieldCount.     return this. }
false;public;1;4;;public Builder setTotalOverFieldCount(long totalOverFieldCount) {     this.totalOverFieldCount = totalOverFieldCount.     return this. }
false;public;1;4;;public Builder setBucketAllocationFailuresCount(long bucketAllocationFailuresCount) {     this.bucketAllocationFailuresCount = bucketAllocationFailuresCount.     return this. }
false;public;1;5;;public Builder setMemoryStatus(MemoryStatus memoryStatus) {     Objects.requireNonNull(memoryStatus, "[" + MEMORY_STATUS_FIELD.getPreferredName() + "] must not be null").     this.memoryStatus = memoryStatus.     return this. }
false;public;1;4;;public Builder setTimestamp(Date timestamp) {     this.timestamp = timestamp.     return this. }
false;public;1;4;;public Builder setLogTime(Date logTime) {     this.logTime = logTime.     return this. }
false;public;0;4;;public ModelSizeStats build() {     return new ModelSizeStats(jobId, modelBytes, totalByFieldCount, totalOverFieldCount, totalPartitionFieldCount, bucketAllocationFailuresCount, memoryStatus, timestamp, logTime). }
